ID	Index	Contig	GC	Length	Coverage	Superkingdom	Kingdom	Phylum	Class	Order	Family	Species	N. genes	Cox1	Genes list
NCBN002890_A01_RMNH_INS_23293	0	NCBN002890_A01_RMNH_INS_23293_contig0	0.178	354	47.0028	no-hit	Metazoa	Arthropoda	Insecta	Lepidoptera	Geometridae	Pygospila tyres	2	0	cox3,nad3
NCBN002890_A01_RMNH_INS_23293	1	NCBN002890_A01_RMNH_INS_23293_contig1	0.2661	481	30.3742	no-hit	Metazoa	Arthropoda	Insecta	Lepidoptera	Crambidae	Graphium mullah	1	0	cob
NCBN002890_A01_RMNH_INS_23293	2	NCBN002890_A01_RMNH_INS_23293_contig2	0.2144	457	36.0832	no-hit	Metazoa	Arthropoda	Insecta	Lepidoptera	Noctuidae	Triuncina daii	1	0	atp6
NCBN002890_A01_RMNH_INS_23293	3	NCBN002890_A01_RMNH_INS_23293_contig3	0.309	1152	29.7986	no-hit	Metazoa	Arthropoda	Insecta	Lepidoptera	Papilionidae	Zerynthia polyxena	1	1	cox1
NCBN002890_A01_RMNH_INS_23293	4	NCBN002890_A01_RMNH_INS_23293_contig4	0.2145	1161	91.6494	no-hit	Metazoa	Arthropoda	Insecta	Lepidoptera	Noctuidae	Actebia praecox	2	0	cob,nad1
NCBN002890_A01_RMNH_INS_23293	5	NCBN002890_A01_RMNH_INS_23293_contig5	0.2152	553	35.9602	no-hit	Metazoa	Arthropoda	Insecta	Lepidoptera	Noctuidae	Cucullia pustulata	2	1	cox1,cox2
NCBN002890_A01_RMNH_INS_23293	6	NCBN002890_A01_RMNH_INS_23293_contig6	0.1608	1381	52.0311	no-hit	Metazoa	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Cnaphalocrocis medinalis	2	1	cox1,nad2
NCBN002890_A01_RMNH_INS_23293	7	NCBN002890_A01_RMNH_INS_23293_contig7	0.1892	962	60.1767	no-hit	Metazoa	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Peridea elzet	3	0	nad4-a,nad4-b,nad5
NCBN002890_A01_RMNH_INS_23293	8	NCBN002890_A01_RMNH_INS_23293_contig8	0.1339	1128	79.3165	no-hit	Metazoa	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Ctenoplusia albostriata	2	0	nad4l,nad6
NCBN002890_A01_RMNH_INS_23293	9	NCBN002890_A01_RMNH_INS_23293_contig9	0.1883	892	107.7623	no-hit	Metazoa	Arthropoda	Insecta	Lepidoptera	Hepialidae	Thitarodes damxungensis	1	0	nad4
NCBN002890_A01_RMNH_INS_23293	10	NCBN002890_A01_RMNH_INS_23293_contig10	0.2622	511	22.6027	no-hit	Metazoa	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Parantica swinhoei	2	0	cox3_0,cox3_1
NCBN002890_A02_RMNH_INS_1719806	0	NCBN002890_A02_RMNH_INS_1719806_circular	0.1917	15155	99.0019	no-hit	Metazoa	Arthropoda	Insecta	Lepidoptera	Crambidae	Pygospila tyres	18	1	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4l,nad5,nad6,rrnL_0,rrnL_1,rrnS_0,rrnS_1,rrnS_2
NCBN002890_A03_RMNH_INS_1719811	0	NCBN002890_A03_RMNH_INS_1719811_circular	0.1912	15170	188.0308	no-hit	Metazoa	Arthropoda	Insecta	Lepidoptera	Crambidae	Pygospila tyres	18	1	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4l,nad5,nad6,rrnL_0,rrnL_1,rrnS_0,rrnS_1,rrnS_2
NCBN002890_A04_RMNH_INS_1719818	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCBN002890_A05_RMNH_INS_1719828	0	NCBN002890_A05_RMNH_INS_1719828_circular	0.2039	15181	191.1257	no-hit	Metazoa	Arthropoda	Insecta	Lepidoptera	Crambidae	Pycnarmon lactiferalis	17	1	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4l,nad5,nad6,rrnL,rrnS_0,rrnS_1,rrnS_2
NCBN002890_A06_RMNH_INS_31812	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCBN001861_A07_RMNH_INS_25507	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCBN002890_A07_RMNH_INS_25673	0	NCBN002890_A07_RMNH_INS_25673_circular	0.1879	15153	401.8332	no-hit	Metazoa	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Parnassius andreji	17	1	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4l,nad5,nad6,rrnL,rrnS_0,rrnS_1,rrnS_2
NCBN001861_A08_RMNH_INS_25505	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCBN001861_A09_RMNH_INS_25532	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCBN001861_A10_RMNH_INS_25527	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCBN001861_A11_RMNH_INS_25470	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCBN002884_A12_ZSM_Lep_160419	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCBN002890_B01_RMNH_INS_21896	0	NCBN002890_B01_RMNH_INS_21896_contig0	0.1863	553	27.2893	no-hit	Metazoa	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Antheraea pernyi x Antherea roylei	1	0	nad4
NCBN002890_B01_RMNH_INS_21896	1	NCBN002890_B01_RMNH_INS_21896_contig1	0.1523	302	27.2417	no-hit	Metazoa	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Pygospila tyres	2	0	cob,nad6
NCBN002890_B01_RMNH_INS_21896	2	NCBN002890_B01_RMNH_INS_21896_contig2	0.2428	453	20.702	no-hit	Metazoa	Arthropoda	Insecta	Lepidoptera	Papilionidae	Peridea elzet	2	0	nad4,nad5
NCBN002890_B01_RMNH_INS_21896	3	NCBN002890_B01_RMNH_INS_21896_contig3	0.1869	658	21.4848	no-hit	Metazoa	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Lethe marginalis	1	0	nad2
NCBN002890_B01_RMNH_INS_21896	4	NCBN002890_B01_RMNH_INS_21896_contig4	0.202	713	29.8093	no-hit	Metazoa	Arthropoda	Insecta	Lepidoptera	Riodinidae	Triodia sylvina	1	0	nad1
NCBN002890_B01_RMNH_INS_21896	5	NCBN002890_B01_RMNH_INS_21896_contig5	0.2351	1540	22.5578	no-hit	Metazoa	Arthropoda	Insecta	Lepidoptera	Crambidae	Pygospila tyres	4	0	atp6_0,atp6_1,cox3,nad3
NCBN002890_B01_RMNH_INS_21896	6	NCBN002890_B01_RMNH_INS_21896_contig6	0.2598	1047	16.2149	no-hit	Metazoa	Arthropoda	Insecta	Lepidoptera	Crambidae	Cnaphalocrocis medinalis	2	1	cox1,cox2
NCBN002890_B01_RMNH_INS_21896	7	NCBN002890_B01_RMNH_INS_21896_contig7	0.2347	524	16.292	no-hit	Metazoa	Arthropoda	Insecta	Lepidoptera	Noctuidae	Ernolatia moorei	1	0	cox2
NCBN002890_B02_RMNH_INS_1719807	0	NCBN002890_B02_RMNH_INS_1719807_contig0	0.1429	413	74.431	no-hit	no-hit	no-hit	no-hit	no-hit	no-hit	no-hit	2	0	atp6,atp8
NCBN002890_B02_RMNH_INS_1719807	1	NCBN002890_B02_RMNH_INS_1719807_contig1	0.2237	657	48.0365	no-hit	Metazoa	Arthropoda	Insecta	Lepidoptera	Limacodidae	Phocoderma betis	2	0	atp6,cox3
NCBN002890_B02_RMNH_INS_1719807	2	NCBN002890_B02_RMNH_INS_1719807_contig2	0.2047	1285	46.4576	no-hit	Metazoa	Arthropoda	Insecta	Lepidoptera	Sphingidae	Ambulyx schauffelbergeri	2	1	cox1,nad2
NCBN002890_B02_RMNH_INS_1719807	3	NCBN002890_B02_RMNH_INS_1719807_contig3	0.2374	396	37.2045	no-hit	Metazoa	Arthropoda	Insecta	Lepidoptera	Sphingidae	Cucullia pustulata	2	0	cox2_0,cox2_1
NCBN002890_B02_RMNH_INS_1719807	4	NCBN002890_B02_RMNH_INS_1719807_contig4	0.188	2962	97.9257	no-hit	Metazoa	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Triodia sylvina	4	0	cob,nad4,nad4l,nad6
NCBN002890_B02_RMNH_INS_1719807	5	NCBN002890_B02_RMNH_INS_1719807_contig5	0.2956	697	32.9354	no-hit	Metazoa	Arthropoda	Insecta	Lepidoptera	Papilionidae	Anomis mesogona	1	1	cox1
NCBN002890_B02_RMNH_INS_1719807	6	NCBN002890_B02_RMNH_INS_1719807_contig6	0.1967	915	83.2328	no-hit	Metazoa	Arthropoda	Insecta	Lepidoptera	Nolidae	Earias clorana	2	0	cox3,nad3
NCBN002890_B02_RMNH_INS_1719807	7	NCBN002890_B02_RMNH_INS_1719807_contig7	0.1941	1087	58.5023	no-hit	Metazoa	Arthropoda	Insecta	Lepidoptera	Noctuidae	Actebia praecox	2	0	cob,nad1
NCBN002890_B02_RMNH_INS_1719807	8	NCBN002890_B02_RMNH_INS_1719807_contig8	0.1907	1736	66.0818	no-hit	Metazoa	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Helicoverpa punctigera	2	0	nad4,nad5
NCBN002890_B03_RMNH_INS_1719812	0	NCBN002890_B03_RMNH_INS_1719812_circular	0.1919	15155	159.334	no-hit	Metazoa	Arthropoda	Insecta	Lepidoptera	Crambidae	Pygospila tyres	18	1	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4l,nad5,nad6,rrnL_0,rrnL_1,rrnS_0,rrnS_1,rrnS_2
NCBN002890_B04_RMNH_INS_1719819	0	NCBN002890_B04_RMNH_INS_1719819_contig0	0.1898	7939	87.1802	no-hit	Metazoa	Arthropoda	Insecta	Lepidoptera	Papilionidae	Prophantis octoguttalis	10	0	cob,nad1,nad4_0,nad4_1,nad4l,nad5,nad6,rrnS_0,rrnS_1,rrnS_2
NCBN002890_B04_RMNH_INS_1719819	1	NCBN002890_B04_RMNH_INS_1719819_contig1	0.2266	7307	65.8347	no-hit	Metazoa	Arthropoda	Insecta	Lepidoptera	Crambidae	Pycnarmon lactiferalis	8	1	atp6,atp8,cox1,cox2,cox3,nad2,nad3,nad5
NCBN002890_B05_RMNH_INS_1719829	0	NCBN002890_B05_RMNH_INS_1719829_circular	0.1876	15088	358.2833	no-hit	Metazoa	Arthropoda	Insecta	Lepidoptera	Crambidae	Ostrinia scapulalis	19	1	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4l,nad5_0,nad5_1,nad5_2,nad6,rrnL,rrnS_0,rrnS_1,rrnS_2
NCBN002890_B06_RMNH_INS_25607	0	NCBN002890_B06_RMNH_INS_25607_contig0	0.2397	317	6.1861	no-hit	Metazoa	Arthropoda	Insecta	Lepidoptera	Limacodidae	Phocoderma betis	1	0	atp6
NCBN001861_B07_RMNH_INS_25494	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCBN002890_B07_RMNH_INS_25676	0	NCBN002890_B07_RMNH_INS_25676_circular	0.1878	15150	103.1949	no-hit	Metazoa	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Parnassius andreji	17	1	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4l,nad5,nad6,rrnL,rrnS_0,rrnS_1,rrnS_2
NCBN002884_B08_RMNH_INS_18436	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCBN002890_B08_RMNH_INS_25682	0	NCBN002890_B08_RMNH_INS_25682_circular	0.2159	15131	584.9112	no-hit	Metazoa	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Prophantis octoguttalis	18	1	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4l,nad5,nad6,rrnL_0,rrnL_1,rrnS_0,rrnS_1,rrnS_2
NCBN001861_B09_RMNH_INS_25531	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
